,endTime,artistName,trackName,msPlayed
3813,2021-10-24 18:06,Rihanna,Skin,1984
3814,2021-10-24 18:06,Rae Sremmurd,This Could Be Us,874
3815,2021-10-24 18:06,Ariana Grande,Side To Side,768
3816,2021-10-24 18:06,Ariana Grande,Side To Side,1365
3817,2021-10-24 18:06,Kelly Rowland,Motivation,618
3818,2021-10-24 18:06,Ariana Grande,Dangerous Woman,725
3819,2021-10-24 18:06,SZA,Broken Clocks,896
3820,2021-10-24 18:06,SZA,Broken Clocks,298
3821,2021-10-24 18:06,Ariana Grande,Let Me Love You,618
3822,2021-10-24 18:06,Roy Woods,Drama (feat. Drake),0
3823,2021-10-24 18:06,Nick Jonas,Close,661
3824,2021-10-24 18:06,Bryson Tiller,Right My Wrongs,0
3825,2021-10-24 18:06,Bryson Tiller,Don't,682
3826,2021-10-24 18:06,Rihanna,Needed Me,3925
3827,2021-10-24 18:06,Lykke Li,sex money feelings die - slowed version,0
3828,2021-10-24 18:10,Rihanna,Needed Me,188273
3829,2021-10-24 18:12,Kehlani,Toxic,168145
3830,2021-10-24 18:16,Normani,Wild Side (feat. Cardi B),209433
3831,2021-10-24 18:18,Kelly Rowland,Motivation,144294
3832,2021-10-24 18:25,Rihanna,Pour It Up,10722
3833,2021-10-24 18:25,Beyoncé,Mine (feat. Drake),378559
3834,2021-10-24 18:25,Ariana Grande,God is a woman,2031
3835,2021-10-24 18:30,SZA,Good Days,279166
3836,2021-10-24 18:33,PARTYNEXTDOOR,BELIEVE IT,183183
3837,2021-10-24 18:36,SoMo,Make Up Sex,222828
3838,2021-10-24 18:50,Chris Brown,No Guidance (feat. Drake),576
3839,2021-10-24 18:50,Doja Cat,Rules,511
3840,2021-10-24 18:50,Beyoncé,Formation,597
3841,2021-10-24 18:50,SZA,The Weekend,597
3842,2021-10-24 18:50,Nick Jonas,Close,725
3843,2021-10-24 18:50,Rihanna,Sex With Me,64017
3844,2021-10-24 18:50,Rihanna,Bitch Better Have My Money,789
3845,2021-10-24 18:51,Rihanna,"Yeah, I Said It",0
3846,2021-10-24 18:51,Doja Cat,Streets,0
3847,2021-10-24 18:51,Chris Brown,No Guidance (feat. Drake),0
3848,2021-10-24 18:51,Summer Walker,Girls Need Love (with Drake) - Remix,42538
3849,2021-10-24 18:51,Olivia O'Brien,Fuck Feelings,0
3850,2021-10-24 18:51,Beyoncé,Sorry,0
3851,2021-10-24 18:51,Cardi B,Be Careful,0
3852,2021-10-24 18:51,Russ,Seduce (feat. Capella Grey),0
3853,2021-10-24 18:51,Madison Beer,Dead,0
3854,2021-10-24 18:51,Ariana Grande,Let Me Love You,0
3855,2021-10-24 18:51,Ariana Grande,Let Me Love You,1501
3856,2021-10-24 18:51,Ariana Grande,Let Me Love You,2560
3857,2021-10-24 18:51,Rihanna,Consideration,0
3858,2021-10-24 18:51,Selena Gomez,Fetish (feat. Gucci Mane),0
3859,2021-10-24 18:51,Vedo,You Got It,0
3860,2021-10-24 18:51,Rihanna,What's My Name?,0
3861,2021-10-24 18:51,Bryson Tiller,Don't,0
3862,2021-10-24 18:51,Nicki Minaj,Bed (feat. Ariana Grande),632
3863,2021-10-24 18:51,Bryson Tiller,Exchange,0
3864,2021-10-24 18:54,Rihanna,Consideration,161023
